Temps;Température
274;326,1188425
276;326,1188425
278;326,1188425
280;325,9718701
282;325,9718701
284;325,9718701
286;325,9718701
288;325,9718701
290;325,8248977
292;325,8248977
294;325,8248977
296;325,8248977
298;325,8248977
300;325,6779253
302;325,6779253
304;325,6779253
306;325,6779253
308;325,6779253
310;325,6779253
312;325,530953
314;325,530953
316;325,530953
318;325,530953
320;325,530953
322;325,3839806
324;325,3839806
326;325,3839806
328;325,3839806
330;325,3839806
332;325,3839806
334;325,2370082
336;325,2370082
338;325,2370082
340;325,2370082
342;325,2370082
344;325,2370082
346;325,0900358
348;325,0900358
350;325,0900358
352;325,0900358
354;325,0900358
356;325,0900358
358;324,9430635
360;324,9430635
362;324,9430635
364;324,9430635
366;324,9430635
368;324,9430635
370;324,7960911
372;324,7960911
374;324,7960911
376;324,7960911
378;324,7960911
380;324,7960911
382;324,6491187
384;324,6491187
386;324,6491187
388;324,6491187
390;324,6491187
392;324,6491187
394;324,5021464
396;324,5021464
398;324,5021464
400;324,5021464
402;324,5021464
404;324,5021464
406;324,5021464
408;324,355174
410;324,355174
412;324,355174
414;324,355174
416;324,355174
418;324,355174
420;324,355174
422;324,355174
424;324,2082016
426;324,2082016
428;324,2082016
430;324,2082016
432;324,2082016
434;324,2082016
436;324,0612292
438;324,0612292
440;324,0612292
442;324,0612292
444;324,0612292
446;324,0612292
448;324,0612292
450;323,9142569
452;323,9142569
454;323,9142569
456;323,9142569
458;323,9142569
460;323,9142569
462;323,9142569
464;323,7672845
466;323,7672845
468;323,7672845
470;323,7672845
472;323,7672845
474;323,6203121
476;323,6203121
478;323,6203121
480;323,6203121
482;323,6203121
484;323,6203121
486;323,6203121
488;323,4733397
490;323,4733397
492;323,4733397
494;323,4733397
496;323,4733397
498;323,4733397
500;323,4733397
502;323,4733397
504;323,3263674
506;323,3263674
508;323,3263674
510;323,3263674
512;323,3263674
514;323,3263674
516;323,179395
518;323,179395
520;323,179395
522;323,179395
524;323,179395
526;323,179395
528;323,0324226
530;323,0324226
532;323,0324226
534;323,0324226
536;323,0324226
538;323,0324226
540;322,8854503
542;322,8854503
544;322,8854503
546;322,8854503
548;322,8854503
550;322,8854503
552;322,7384779
554;322,7384779
556;322,7384779
558;322,7384779
560;322,7384779
562;322,5915055
564;322,5915055
566;322,5915055
568;322,5915055
570;322,5915055
572;322,5915055
574;322,5915055
576;322,5915055
578;322,4445331
580;322,4445331
582;322,4445331
584;322,4445331
586;322,4445331
588;322,2975608
590;322,2975608
592;322,2975608
594;322,2975608
596;322,2975608
598;322,2975608
600;322,1505884
602;322,1505884
604;322,1505884
606;322,1505884
608;322,1505884
610;322,1505884
612;322,1505884
