Temps;Température
854;332,5050857
856;332,5050857
858;332,3581133
860;332,3581133
862;332,3581133
864;332,3581133
866;332,3581133
868;332,3581133
870;332,3581133
872;332,2111409
874;332,2111409
876;332,2111409
878;332,2111409
880;332,2111409
882;332,2111409
884;332,2111409
886;332,0641686
888;332,0641686
890;332,0641686
892;332,0641686
894;332,0641686
896;332,0641686
898;332,0641686
900;332,0641686
902;331,9171962
904;331,9171962
906;331,9171962
908;331,9171962
910;331,9171962
912;331,9171962
914;331,9171962
916;331,7702238
918;331,7702238
920;331,7702238
922;331,7702238
924;331,7702238
926;331,7702238
928;331,7702238
930;331,7702238
932;331,6232514
934;331,6232514
936;331,6232514
938;331,6232514
940;331,6232514
942;331,6232514
944;331,6232514
946;331,4762791
948;331,4762791
950;331,4762791
952;331,4762791
954;331,4762791
956;331,4762791
958;331,4762791
960;331,4762791
962;331,3293067
964;331,3293067
966;331,3293067
968;331,3293067
970;331,3293067
972;331,3293067
974;331,1823343
976;331,1823343
978;331,1823343
980;331,1823343
982;331,1823343
984;331,1823343
986;331,1823343
988;331,1823343
990;331,0353619
992;331,0353619
994;331,0353619
996;331,0353619
998;331,0353619
1000;331,0353619
1002;330,8883896
1004;330,8883896
1006;330,8883896
1008;330,8883896
1010;330,8883896
1012;330,8883896
1014;330,8883896
1016;330,7414172
1018;330,7414172
1020;330,7414172
1022;330,7414172
1024;330,7414172
1026;330,7414172
1028;330,7414172
1030;330,5944448
1032;330,5944448
1034;330,5944448
1036;330,5944448
1038;330,5944448
1040;330,5944448
1042;330,4474724
1044;330,4474724
1046;330,4474724
1048;330,4474724
1050;330,4474724
1052;330,4474724
1054;330,4474724
1056;330,3005001
1058;330,3005001
1060;330,3005001
1062;330,3005001
1064;330,3005001
1066;330,3005001
1068;330,3005001
1070;330,1535277
1072;330,1535277
1074;330,1535277
1076;330,1535277
1078;330,1535277
1080;330,1535277
1082;330,1535277
1084;330,0065553
1086;330,0065553
1088;330,0065553
1090;330,0065553
1092;330,0065553
1094;330,0065553
1096;330,0065553
1098;329,859583
1100;329,859583
1102;329,859583
1104;329,859583
1106;329,859583
1108;329,859583
1110;329,7126106
1112;329,7126106
1114;329,7126106
1116;329,7126106
1118;329,7126106
1120;329,7126106
1122;329,7126106
1124;329,5656382
1126;329,5656382
1128;329,5656382
1130;329,5656382
1132;329,5656382
1134;329,5656382
1136;329,4186658
1138;329,4186658
1140;329,4186658
1142;329,4186658
1144;329,4186658
1146;329,4186658
1148;329,4186658
1150;329,2716935
1152;329,2716935
1154;329,2716935
1156;329,2716935
1158;329,2716935
1160;329,2716935
1162;329,1247211
1164;329,1247211
1166;329,1247211
1168;329,1247211
1170;329,1247211
1172;329,1247211
1174;329,1247211
1176;328,9777487
1178;328,9777487
1180;328,9777487
1182;328,9777487
1184;328,9777487
1186;328,8307763
1188;328,8307763
1190;328,8307763
1192;328,8307763
1194;328,8307763
1196;328,8307763
1198;328,683804
1200;328,8307763
1202;328,683804
1204;328,683804
1206;328,683804
1208;328,683804
1210;328,683804
1212;328,683804
1214;328,683804
1216;328,683804
1218;328,5368316
1220;328,5368316
1222;328,5368316
1224;328,5368316
1226;328,5368316
1228;328,5368316
1230;328,5368316
1232;328,3898592
1234;328,3898592
1236;328,3898592
1238;328,3898592
1240;328,3898592
1242;328,3898592
1244;328,2428869
1246;328,2428869
1248;328,2428869
